Typ argumentu (szeregowy lub równoleg³y),Konkluzja,Przes³anka 1,Przes³anka 2,Przes³anka 3,Przes³anka 4,Przes³anka 5,Przes³anka 6,Przes³anka 7,Przes³anka 8
szeregowy,Szczepienia s¹ bezpieczne,Wœród Polaków szczepienie przeciwko koronawirusowi wci¹¿ budzi spore emocje.,"W¹tpliwoœci budzi przede wszystkim bezpieczeñstwo szczepionki – zarówno tej, jak i innych znajduj¹cych siê w kalendarzu szczepieñ dziecka – które niestety przez wiele osób jest regularnie podwa¿ane","Przedstawiciele rz¹du przypominaj¹ jednak, ¿e ka¿da szczepionka dopuszczona do obrotu w Polsce przechodzi staranne badania.", ,,,,
równoleg³y,Dlatego szczepmy siê.,"Eksperci niejednokrotnie przekonywali, ¿e szczepi¹c siê zapewniamy bezpieczeñstwo nie tylko sobie.","Wirus nie patrzy na wiek, ka¿dy mo¿e siê zaraziæ. A osoby zaszczepione wed³ug danych ³agodniej przechodz¹ ewentualne zaka¿enie wirusem SARS-CoV-2. [komentarz: ten fragment mo¿na uznaæ za dwie przes³anki szeregowe; wtedy, ¿eby argumentacja nie by³a mieszana mo¿na z nich zrezygnowaæ]","To takie proste. Przychodzisz, szczepisz siê i wracasz do domu.", ,,,,
szeregowy,"b¹dŸcie odpowiedzialni i zaszczepcie siê dla dobra swojego i swoich najbli¿szych, szczególnie tych najstarszych. Uczyñcie to równie¿ w trosce o tych wszystkich, którzy z ró¿nych przyczyn maj¹ os³abion¹ odpornoœæ, s¹ przewlekle chorzy, i wszystkich innych, dla których za chwilê w szpitalach i na oddzia³ach anestezjologii i intensywnej terapii mo¿e zabrakn¹æ miejsca.","W Polsce na COVID-19 zachorowa³o ju¿ ponad 3 miliony osób, setki tysiêcy z nich wymaga³y hospitalizacji, a ponad 76 tysiêcy zmar³o.","Olbrzymie przeci¹¿enie ca³ego systemu ochrony zdrowia wywo³ane pandemi¹ spowodowa³o dramatyczne ograniczenie dostêpu do pomocy medycznej dla wielu pacjentów i z pewnoœci¹ przyczyni³o siê do pogorszenia ich stanu, a w wielu przypadkach tak¿e do œmierci.","Obserwowana w ostatnich dniach zwiêkszaj¹ca siê liczba zachorowañ, hospitalizacji i zgonów budzi w nas ogromne obawy dotycz¹ce realnych mo¿liwoœci udzielania pomocy wszystkim potrzebuj¹cym, a w szczególnoœci leczonym na oddzia³ach anestezjologii i intensywnej terapii, zarówno choruj¹cym na COVID-19, jak i innym krytycznie chorym.",Najskuteczniejsz¹ ochron¹ przed zachorowaniem i wyst¹pieniem ciê¿kiego przebiegu COVID-19 jest szczepienie., ,,,
szeregowy,"Dlatego, w trosce o w³asne dzieci i o w³asne zdrowie, trzeba siebie oraz dzieci zaszczepiæ","Poprzez szczepienia ochronne nabywamy odpornoœæ, tego nie zapewni nam nauczanie zdalne.","Kiedy dzieci pójd¹ w œrodowisko dzieciêce, a przecie¿ w przedszkolu czy w szkole s¹ te¿ doroœli, to mog¹ ulec zaka¿eniu","Od dawna wiadomo, ¿e szczepionki chroni¹ przed ciê¿kim przebiegiem, przed rozwojem ciê¿kiej postaci klinicznej choroby, z dalszymi tego konsekwencjami.","A konsekwencje [zaka¿enia COVID-19], bez wzglêdu na wiek, s¹ nieraz bardzo ciê¿kie i nieraz koñcz¹ siê tragicznie. Ma³e dzieci, m³odzie¿ te¿ niestety umieraj¹.", ,,,
równoleg³y,"Zaszczepmy siê, pomó¿my wróciæ do normalnoœci.","Jedynie zaszczepienie mo¿e przyczyniæ siê zminimalizowania, a docelowo wygaszenia epidemii wirusa.","Szczepi¹c siê, sami mo¿emy zdecydowaæ czy na jesieñ bêdziemy mieli kolejne ograniczenia np. zamkniête sklepy, us³ugi, noszenie maseczek, nauczanie online, zamkniête przychodnie zdrowia i szpitale.","Jak pokazuj¹ badania, w tej chwili umiera na COVID-19 98,9 %  osób niezaszczepionych, a tylko 1,1 %. tych, które siê zaszczepi³y. ","Eksperci przewiduj¹, ¿e je¿eli poziom zaszczepieñ nie bêdzie wystarczaj¹cy to liczba zaka¿eñ w czwartej fali osi¹gnie poziom do oko³o 15 tys. dziennie.", ,,,
szeregowy,U osób zaszczepionych bardzo rzadko mog¹ wystêpowaæ zachorowania na COVID-19.,Zachorowania na COVID-19 po szczepieniu s¹ mo¿liwe,[zachorowania] zdarzaj¹ siê bardzo rzadko.,Objawy s¹ najczêœciej ³agodne., ,,,,
równoleg³y,Szczepionki przeciw COVID-19 nie s¹ eksperymentem medycznym. ,Przesz³y wszystkie wymagane etapy badañ podobnie jak pozosta³e szczepionki dostêpne na rynku. ,"Kryteria oceny s¹ bardziej szczegó³owe ni¿ te, którym podlegaj¹ leki.",Szczepionki bez ¿adnych wyj¹tków podlegaj¹ restrykcyjnym procesom oceny wyników badañ nieklinicznych (na zwierzêtach) i wymaganym 3 etapom badañ klinicznych (na ludziach).,"Je¿eli szczepionka zosta³a dopuszczona do obrotu tzn. ¿e spe³ni³a wszystkie wymagania oceny jej jakoœci, bezpieczeñstwa i skutecznoœci.", ,,,
równoleg³y,"Mamy ogromn¹ wiedzê, która potwierdza bezpieczeñstwo szczepionek przeciw COVID-19, równie¿ u nastolatków.","Po pierwsze wyniki badañ klinicznych,  potwierdzaj¹ profil bezpieczeñstwa szczepionki podawanej nastolatkom w wieku 12 lat i starszym. ","Ca³y czas monitorujemy rodzaje i czêstoœæ wystêpowania niepo¿¹danych odczynów poszczepiennych, które wystêpuj¹ po podaniu szczepionek przeciw COVID-19, w poszczególnych krajach i na œwiecie. ","Dotychczas podano ponad 4 miliardy dawek ró¿nych szczepionek przeciw COVID-19 dla doros³ych, co daje nam ogromna wiedzê o bezpieczeñstwie szczepionek.","Wiemy, jakie rodzaje NOPi jak czêsto wystêpuj¹ u doros³ych oraz nastolatków.", ,,,
szeregowy,Szczepionki przeciw COVID-19 nie powoduj¹ niep³odnoœci. ,"Szczepionki nie zawieraj¹ wirusa zdolnego do podzia³u,",a wiêc nie ma ryzyka wyst¹pienia niepo¿¹danych zdarzeñ u p³odu lub zaszczepionej przysz³ej matki. ,Równie¿ wyniki badañ na zwierzêtach nie wykaza³y zagro¿enia dla p³odu., ,,,,
równoleg³y,Zaszczep siê tak szybko jak to mo¿liwe.,"Lekarze podkreœlaj¹, ¿e widoczna jest bardzo wyraŸna tendencja do ciê¿kiego przebiegu COVID-19 (w tym koniecznoœci leczenia z u¿yciem ró¿nych metod wspomagania oddychania) u osób niezaszczepionych.","Aby chroniæ siebie i wszystkich, których kochasz, wa¿ne jest, aby jak najszybciej otrzymaæ szczepionki i dawkê przypominaj¹c¹.", ,,,,,
równoleg³y,Nie bój siê i zaszczep siê.,Zrób to dla dobra swojego i bliskich.,,Osoby zaszczepione przeciwko COVID-19 bardzo rzadko wymagaj¹ hospitalizacji z powodu ciê¿kiego przebiegu tej choroby, ,,,,
szeregowy,Szczepi¹c siê na COVID-19 unikamy d³ugotrwa³ych powik³añ.,"Naukowcy zgadzaj¹ siê, ¿e znacznie bezpieczniej jest siê zaszczepiæ, ni¿ ryzykowaæ zaka¿enie koronawirusem, które mo¿e mieæ bardzo nieprzyjemne skutki d³ugoterminowe. ","Lipcowy raport CDC stwierdza, ¿e oko³o jedna trzecia ankietowanych chorych nie wyzdrowia³a w ci¹gu dwóch lub trzech tygodni. ","Wiele osób toczy wielomiesiêczn¹ walkê ze zmêczeniem, bólami miêœni, trudnoœciami w oddychaniu, ko³ataniem serca lub zaburzeniami snu. ", ,,,,
szeregowy,Zaszczep siê!,"Lekarze podkreœlaj¹, ¿e widoczna jest bardzo wyraŸna tendencja do ciê¿kiego przebiegu COVID-19 (w tym koniecznoœci leczenia z u¿yciem ró¿nych metod wspomagania oddychania) u osób niezaszczepionych.","Niestety bardzo wiele osób niezaszczepionych przegrywa walkê z COVID-19, a przecie¿ nie musi tak byæ.",Nie ryzykuj  , ,,,,
równoleg³y,Warto zaszczepiæ siê przeciwko COVID-19,Szczepionki s¹ najbardziej skuteczn¹ metod¹ chroni¹c¹ przed zara¿eniem ró¿nymi chorobami., Ludzkoœæ z powodzeniem korzysta z tej zdobyczy cywilizacji od kilkuset lat., ,,,,,
szeregowy,Trzeba i warto siê zaszczepiæ przeciwko COVID-19,W ten sposób uratujesz swoje ¿ycie i zdrowie, ,,,,,,
szeregowy,"Zachowaj dystans, noœ maseczkê i zaszczep siê",Osoby z nisk¹ odpornoœci¹ s¹ nara¿one na wiêksze ryzyko ciê¿kiego przebiegu choroby COVID-19.,Osoby z obni¿on¹ odpornoœci¹ potrzebuj¹ ochrony, ,,,,,
szeregowy,Warto zaszczepiæ siê przeciwko COVID-19,Ka¿dy z nas mo¿e powstrzymaæ pandemiê.,"Przyjêcie szczepionki to nie tylko ochrona nas samych. To tak¿e ochrona naszych rodziców, dziadków, dzieci i przyjació³.", ,,,,,
szeregowy,Zaszczep siê,Zaka¿enie koronawirusem wywo³uje wiele powik³añ natury neurologicznej,Najlepsz¹ ochron¹ przed zachorowaniem s¹ szczepienia, ,,,,,
szeregowy,Zaszczep siê,"9 na 10 osób, które trafiaj¹ do szpitala, to osoby niezaszczepione.",Wci¹¿ za ma³o z nas siê zaszczepi³o.,Konieczny mo¿e byæ kolejny lockdown.,Nasze dzieci chc¹ byæ szczêœliwe.,Nie szczepi¹c siê mo¿emy ponownie skazaæ [dzieci] na naukê zdaln¹ i problemy wywo³ane izolacj¹., ,,
szeregowy,"Wybierz m¹drze, zaszczep siê","Ponad 95% osób poni¿ej 45. roku ¿ycia, które zmar³y na COVID-19, to osoby niezaszczepione.", ,,,,,,
równoleg³y,Zaszczep siê ju¿ dziœ,9/10 pacjentów chorych na COVID-19 w szpitalach to osoby niezaszczepione,Dziêki szczepieniom mo¿emy wspólnie pokonaæ kolejn¹ falê epidemii, ,,,,,
równoleg³y,Szczepmy siê,[Szczepi¹c siê] uchronisz siê przed niebezpieczeñstwem,[Szczepi¹c siê] uratujesz komuœ ¿ycie,Mo¿esz [siê zaszczepiæ],[Szczepi¹c siê] pomo¿esz zwalczyæ pandemiê na ca³ym œwiecie,[Szczepi¹c siê] zyskasz spokój,Szczepionki s¹ bezpieczne,[Szczepi¹c siê] zostaniesz zbadany,[Gdy siê zaszczepisz] to dziêki tobie wszyscy szybciej wrócimy do normalnoœci
równoleg³y,Szczepcie siê,Chcecie dalej pracowaæ,Chcecie ¿yæ,,,,,,
równoleg³y,Zaszczep siê przeciw COVID-19,[Szczepi¹c siê] chronisz zdrowie swoje i innych,[Szczepi¹c siê] unikasz ciê¿kich powik³añ po zaka¿eniu,[Szczepi¹c siê] przyczyniasz siê do powrotu do normalnego ¿ycia,[Szczepi¹c siê] przyczyniasz siê do zatrzymania czwartej fali epidemii,[Szczepi¹c siê] masz szansê wygrania nawet miliona z³otych, ,,
równoleg³y,Zaszczep siê,Jesteœ wa¿ny,Jesteœ potrzebny,,,,,,
szeregowy,Wybierz m¹drze - zaszczep siê,Historia pokaza³a jak istotne s¹ szczepienia,"Po II wojnie œwiatowej dziêki szczepionkom uda³o siê opanowaæ kolejne choroby: odrê, œwinkê, ró¿yczkê, ospê wietrzn¹, wirusowe zapalenie w¹troby typu B i wirusowe zapalenie w¹troby typu A","Szczepionka przeciw ospie prawdziwej wyeliminowa³a œmiertelnego wirusa, który poch³ania³ rocznie 5 mln ofiar œmiertelnych.", Szczepionka przeciw odrze uratowa³a ok. 37 milionów ludzi,Dziêki powszechnym szczepieniom tê¿ec zosta³ w Polsce wyeliminowany u dzieci [...],[dziêki szczepionce] Polio w Polsce nie wystêpuje od blisko 40 lat.,"Historia pokazuje, ¿e szczepionki przeciw COVID-19 mog¹ wywrzeæ podobny wp³yw na nasze ¿ycie.", 
szeregowy,Szczepmy siê,"Od nas zale¿y, czy Nowy Rok bêdzie szczêœliwy",Dajmy mu [nowemu rokowi] szansê [poprzez zaszczepienie siê], ,,,,,
równoleg³y,Zaszczep siê,Wspólnie zatrzymajmy kolejn¹ falê,¯yj normalnie,,,,,,
równoleg³y,Zaszczep siê,Wariant Omikron staje siê coraz powa¿niejszym problemem,Wzmocnij swoj¹ ochronê,Wybierz m¹drze,"Odpornoœæ zbiorowiskowa [osi¹gniêta m.in. szczepieniami] chroni tych, którzy nie mog¹ byæ zaszczepieni", ,,,
równoleg³y,Szczepmy siê. Noœmy maseczki. Przestrzegajmy kwarantanny.,te wszystkie dzia³ania nie s¹ drogie,"osoby zaszczepione choruj¹, ale rzadziej",[osoby zaszczepione] choruj¹ ³agodniej,[osoby zaszczepione] maj¹ mniejsze ryzyko zgonu [z powodu covid-19], ,,,
równoleg³y,Szczepmy siê,dla bezpieczeñstwa swojego,dla bezpieczeñstwa bliskich,aby byæ krok bli¿ej do powrotu do normalnoœci, ,,,,
równoleg³y,Szczepmy siê,"szybciej wróæimy do normalnoœci: podró¿owania, ¿arcia na mieœcie, ocierania siê o spocon¹ pachê w klubie festiwalowego gwaru, spacerów bez maseczek, treningów na si³owni, braku ograniczeñ w sklepach",terminy s¹ nawet na jutro,szczepienie nie boli,a sama procedura [szczepienia] jest szybka i sprawna, ,,,
równoleg³y,Zaszczep siê przeciwko COVID-19,"szczepi¹c siê, robimy to przede wszystkim dla siebie. nie chcemy ciê¿ko zachorowaæ, trafiæ do szpitala","[szczepi¹c siê] mo¿emy pomóc te¿ innym, poprzez coœ co nazywamy odpornoœci¹ populacyjn¹ lub stadn¹","im wiêcej nas zaszczepionych, tym szanse na zaka¿enie s³abszych i bezbronnych wobec wirusa, mniejsze",jesteœmy odpowiedzialni za innych, ,,,
równoleg³y,nie czekaj – zaszczep siê ju¿ dziœ,9/10 pacjentów chorych na COVID-19 w szpitalach to osoby niezaszczepione,dziêki szczepieniom mo¿emy wspólnie pokonaæ kolejn¹ falê epidemii, ,,,,,
szeregowy,zaszczep siê,zaka¿enie koronawirusem wywo³uje wiele powik³añ natury neurologicznej,"[powik³ania natury neurologicznej] to nie tylko utrata smaku i wêchu, ale tak¿e udary, krwotoki podpajêczynówkowe, a nawet mg³y mózgowe",,najlepsz¹ ochron¹ przed zachorowaniem s¹ szczepienia,,,,
szeregowy,szczepmy siê,"[szczepienie] to nie tylko kwestia naszego bezpieczeñstwa, ale równie¿ naszych rodzin, bliskich i wspó³pracowników","b¹dŸmy odpowiedzialni za swoje rodziny, a tak¿e za kole¿anki i kolegów z pracy", ,,,,,
szeregowy,szczepmy siê,"chcia³bym, abyœmy wszyscy spotkali siê zdrowi, spokojni i bezpieczni w 2022 roku","gwarancj¹ tego [spotkania siê zdrowymi, spokojnymii bezpiecznymi w 2022 roku]  jest szczepienie", ,,,,,
równoleg³y,Szczepmy siê!,Szczepienia s¹ bezpieczne,szczepionki nie zawieraj¹ czipów,[szczepionki]nie modyfikuj¹ naszego DNA,odczyn zapalny i reakcje niepo¿¹dane po podaniu szczepionki mRNA s¹ dodatkowo mniej prawdopodobne i s³absze w porównaniu z tradycyjnymi szczepionkami, ,,,
równoleg³y,Ja ju¿ zapisa³am siê na szczepienie i was równie¿ do tego serdecznie zachêcam,"Szczepi¹c siê, mo¿emy uchroniæ przed niebiezpieczeñstwem siebie i naszych bliskich z bardzo du¿ym prawdopodobieñstwiem siêgaj¹cym 95%",Szczepionki s¹ najbardziej skuteczn¹ metod¹ chroni¹c¹ przed zara¿eniem ró¿nymi chorobami,Ludzkoœæ korzysta z tej zdobyczy cywilizacji ju¿ od kilkuset lat, ,,,,
równoleg³y,Zachêcam Was wszystkich do korzystania z programu szczepieñ,"[Jest to oczywiœcie kwestia Waszych indywidualnych decyzji, ale] bezpieczeñstwo nas wszystkich jest sum¹ Waszych indywidualnych wyborów","Korzystajmy z osi¹gniêæ wspó³czesnej medycyny, nie ulegajmy fake'om [szczepmy siê]","tylko wtedy nasze kszta³cenie, Wasz i nasz pobyt w murach uniwersytetu bêdzie mia³ akademicki charakter", ,,,,
szeregowy,"B¹dŸ bohaterem, zaszczep siê",Mam 98 lat,mam dla kogo ¿yæ,Ty równie¿,,,,,
równoleg³y,Zaszczep siê,Bo w ten sposób mo¿emy odci¹¿yæ nasz¹ s³u¿bê zdrowia  ,Poniewa¿ pozbêdziemy siê ryzyka zara¿enia naszych bliskich ,"Przyczynimy siê do zakoñczenia pandemii, która ju¿ od prawie roku zbiera krwawe ¿niwo Polsce i na œwiecie", ,,,,
równoleg³y,Szczepcie siê,Poniewa¿ macie normalnoœæ na wyci¹gniêcie rêki ,Abyœmy osi¹gneli odpornoœæ populacyjna ,Abym mog³a was odwiedziæ ,,,,,
równoleg³y,Szczepimy siê,Dziêki szczepionkom uzyskujemy ochronê przed ewentualna chorob¹,Zapobiegamy hospitalizacji,[szczepienie] to trening dla naszego uk³adu odpornoœciowego,"Niwelujemy ryzyko powa¿nych powik³añ, mog¹cych wyst¹piæ w przypadku przebycia choroby",,,,
równoleg³y,Zaszczep siê,Dla dobra swojego i swoich bliskich ,"Osoby zaszczepione przeciwko COVID-19 bardzo rzadko wymagaj¹ hospitalizacji, z powodu ciê¿kiego przebiegu tej choroby. ",,,,,,
równoleg³y,Szczepmy siê przeciw Covid19.,Roœnie liczba zachorowañ na Covid19.,"By z³agodziæ przebieg choroby, a mo¿e nawet uodporniæ organizm przed t¹ groŸn¹ chorob¹, mo¿na siê zaszczepiæ.", ,,,,,
równoleg³y,SzczepMY siê!,Szczepienia s¹ kluczowym elementem walki z COVID-19.,"Szczepi¹c siê chronimy nie tylko siebie, ale tak¿e swoich najbli¿szych, osoby starsze. ", ,,,,,
szeregowy,Zaszczep siê przeciwko COVID-19,Szczepienie jest nie tylko najskuteczniejsz¹ ochron¹ przed Covid-19.,Coraz czêœciej jest te¿ przepustk¹ do swobodnego podró¿owania i korzystania z atrakcji turystycznych., ,,,,,
równoleg³y,Zaszczepmy siê,Z bardzo du¿ym prawdopodobieñstwem – siêgaj¹cym nawet 95% – szczepienie uchroni Ciê przed zaka¿eniem COVID-19. ,Zaszczepieni jeœli zachoruj¹ zdecydowanie ³agodniej przechodz¹ zaka¿enie COVID-19., ,,,,,
równoleg³y,Nie ryzykuj! Zaszczep siê na Covid-19!,"Zw³aszcza w jesienno-zimowym sezonie, kiedy nasza odpornoœæ bywa os³abiona, warto skorzystaæ z mo¿liwoœci jej wzmocnienia.","To tak¿e mo¿liwoœæ zadbania o swoich rodziców i dziadków, którzy ze wzglêdu na wiek czy choroby wspó³istniej¹ce, w przypadku zaka¿enia mog¹ przechodziæ koronawirusa znacznie ciê¿ej.", ,,,,,
równoleg³y,"Zaszczep siê, ",bo warto!,"Szczepienia przeciwko koronawirusowi to obecnie jedyne i najbardziej skuteczne rozwi¹zanie, które pozwoli na ochronê zdrowia i ¿ycia oraz pokonanie pandemii. ","Zadaniem szczepionek jest produkcja przeciwcia³ i stymulacja komórek odpornoœciowych, które zapobiegaj¹ zaka¿eniu siê koronawirusem lub ³agodz¹ objawy, kiedy do zaka¿enia dojdzie.",Szczepienie siê przeciwko COVID-19 upowa¿nia nas do otrzymania Statusu Osoby Zaszczepionej.,,,,
szeregowy,Zaszczep siê! ,"Je¿eli jesteœ w ci¹¿y i zakazisz siê koronawirusem, masz 20-krotnie wy¿sze ryzyko ciê¿kiej niewydolnoœci oddechowej, ",Nie bêdzie ona obojêtna dla twojego rozwijaj¹cego siê dziecka, ,,,,,
równoleg³y,Zaszczep siê przeciw COVID-19 i ¿yj swobodnie!,To najskuteczniejsza ochrona przed zachorowaniem na COVID-19,To swoboda ¿ycia i powrót do normalnoœci w kontaktach miêdzyludzkich,To brak kwarantanny po podró¿y lub kontakcie z osob¹ zaka¿on¹ SARS-CoV-2, ,,,,
równoleg³y,Zaszczepmy siê,Nie odbierajmy mo¿liwoœci leczenia siê innym osobom,"Osoba zaszczepiona, nawet jeœli jest zako¿ona, przenosi 6 raz mniejszy ³adunek wirusa", ,,,,,
równoleg³y,równoleg³y,Osoby z nisk¹ odpornoœci¹ s¹ nara¿one na wiêksze ryzyko ciê¿kiego przebiegu choroby COVID-19.,Szczepionka przeciwko COVID-19 to dzisiaj jedyna forma obrony przed ciê¿kim przebiegiem choroby i œmierci¹,"zaszczepienie siê to najlepsze, co mo¿emy teraz zrobiæ, by chroniæ siebie i innych.", ,,,,
równoleg³y,Szczepmy siê / Let's get vaccinated! ?,"Niech wygra Œwiadomoœæ, Nauka i Fakty! ",Wszystko zale¿y od nas a nie od ¿adnych polityków!, ,,,,,
szeregowy,Zaszczep siê,"Ka¿da osoba, która siê zaszczepi, ma szansê przerwaæ ³añcuch zaka¿eñ"," Nasze zaszczepienie siê to ochrona dla nas, dla naszych rodziców, dziadków, dzieci, znajomych i przyjació³.",,,,,,
szeregowy,Warto siê szczepiæ,"[Szczepienie] przyczynia siê do szybszego powrotu do normalnoœci, jak¹ znamy z czasów, zanim na œwiecie pojawi³ siê koronawirus.","Oznacza to powrót do aktywnoœci spo³ecznych, zawodowych oraz rekreacyjnych, które aktualnie s¹ ograniczane.", ,,,,,
szeregowy,Warto siê zaszczepiæ,Szczepionki s¹ najbardziej skuteczn¹ metod¹ chroni¹c¹ przed zara¿eniem ró¿nymi chorobami.,Ludzkoœæ z powodzeniem korzysta z tej zdobyczy cywilizacji od kilkuset lat. , ,,,,,
równoleg³y,Warto szczepiæ dzieci przeciwko wirusowi SARS-CoV-2,"Obecnie dzieci wcale nie choruj¹ tak ³agodnie, jak jeszcze rok czy pó³tora roku temu na pocz¹tku pandemii.","Powstaj¹ kolejne warianty koronawirusa, które s¹ coraz bardziej niebezpieczne dla coraz m³odszych osób.",Czêœæ dzieci mo¿e zachorowaæ powa¿nie lub mieæ d³ugo ci¹gn¹ce siê powik³ania po-covidowe,Przed tym wszystkim mo¿e uchroniæ dziecko szczepionka. , ,,,
równoleg³y,Zdecydowanie warto szczepiæ dzieci przeciwko COVID-19,Zmniejszamy ryzyko zachorowania dziecka na COVID-19.,Ponadto dziêki szczepieniom zmniejszamy ryzyko powik³añ – miedzy innymi zespo³u PIMS.,Zmniejszamy ryzyko przeniesienia zaka¿enia koronawirusem na innych domowników,"Uzyskujemy certyfikat, który zwalnia przyk³adowo z kwarantanny. ", ,,,
równoleg³y,Zaszczep siê,Ka¿dego roku na ca³ym œwiecie szczepienia ratuj¹ 2-3 mln istnieñ ludzkich.,Strategia szczepieñ w cyklu ca³ego ¿ycia uznaje rolê szczepieñ jako strategiê zapobiegania chorobom i maksymalizacji zdrowia przez ca³e ¿ycie.,Zaszczepienie siê? jest obowi¹zkiem nas wszystkim i nasz¹ odpowiedzialnoœci¹?.,Szczepienia s¹? niezbêdnym narzêdziem zdrowia., ,,,
szeregowy,Zaszczep siê,"Dziêki osi¹gniêciu poziomu odpornoœci zbiorowej mo¿emy wspólnie pokonaæ epidemiê i bezpiecznie wróciæ do zwyk³ych, codziennych aktywnoœci nieograniczonych restrykcjami sanitarnymi i epidemiologicznymi. ","Próg odpornoœci zbiorowej, po osi¹gniêciu którego liczba nowych zaka¿onych zaczyna siê zmniejszaæ, zwykle wymaga 90-95% populacji odpornej.",Uzyskaæ odpornoœæ populacyjn¹ mo¿emy tylko w wyniku zaszczepienia wysokiego odsetka spo³eczeñstwa., ,,,,
równoleg³y,Zaszczep siê,Zaszczep siê a zyskasz spokojne ¿ycie.,Osoby niezaszczepione maj¹ co najmniej 10x wy¿sze ryzyko zgonu z powodu COVID-19 w porównaniu do osób zaszczepionych.,Szczepionki ratuj¹ ¿ycie.,,,,,
równoleg³y,#zaszczep siê,"Szczepionki na koronawirusa s¹ dobrowolne, bezp³atne i skuteczne.","Szczepi¹c siê, zyskasz wewnêtrzny spokój, wynikaj¹cy z bezpieczeñstwa w³asnego i najbli¿szych.",Szczepionki s¹ badane przez najlepszych naukowców z ca³ej UE. Ich dopuszczenie do u¿ytku jest zale¿ne od decyzji Europejskiej Agencji Leków.,"Szczepi¹c siê, przyczyniasz siê do szybszego znoszenia ograniczeñ i powrotu nas wszystkich do normalnego ¿ycia.", ,,,
równoleg³y," Dlatego tak istotne znaczenie ma przyjêcie trzeciej dawki przypominaj¹cej,",Koronawirus stale mutuje,Odpornoœæ po zaszczepieniu powoli i stopniowo spada,[3 dawka] mobilizuje ponownie uk³ad odpornoœciowy do walki z patogenem., ,,,,
równoleg³y,Zaszczep siê,Dziêki szczepieniom uda³o siê skutecznie wyeliminowaæ lub zmniejszyæ iloœæ zachorowañ na terenie Europy na wiele œmiertelnych chorób,"W krajach trzeciego œwiata, gdzie nie ma obowi¹zkowych szczepieñ, nara¿onych na choroby zakaŸne s¹ miliony osób, wiele z nich umiera.", ,,,,,
szeregowy,Zaszczep siê,Istnieje równie¿ wiele chorób zakaŸnych,Jedynym skutecznym zabezpieczeniem przed tymi chorobami i ich groŸnymi powik³aniami s¹ szczepienia., ,,,,,
równoleg³y,Warto siê szczepiæ,Bo uchronisz siebie przed niebezpieczeñstwem,Bo uratujesz komuœ ¿ycie,Bo mo¿esz!,Bo pomo¿esz zwalczyæ pandemiê na œwiecie,Bo zyskasz spokój,Bo szczepionki s¹ bezpieczne,Bo zostaniesz zbadany,Bo dziêki Tobie szybciej wrócimy do normalnoœci!
równoleg³y,"Warto siê szczepiæ przeciwko COVID-19, bo ",znacznie zmniejszasz ryzyko zaka¿enia siê koronawirusem,chronisz siê przed ciê¿kim przebiegiem choroby (wymagaj¹cym hospitalizacji) i œmierci¹ z powodu COVID-19,mo¿esz bezpieczniej odwiedziæ swoich starszych bliskich,"mo¿esz bezpieczniej spotykaæ siê ze znajomymi w wiêkszych grupach,","chronisz siê przed ciê¿kimi powik³aniami pocovidowymi - w tym transplantacj¹ p³uc,zanikami pamiêci czy zakrzepic¹",stawiasz krok naprzód w marszu do swobodnego dostêpu do gastronomii i punktów us³ugowych,zbli¿asz siebie i innych do œwiata bez maseczek i bez obostrzeñ,chronisz swoje nienarodzone dziecko przed chorob¹
równoleg³y,Warto siê szczepiæ przeciwko COVID-19,"Osoby zaszczepione znacznie rzadziej trafiaj¹
do szpitala z powodu Covid-19 ni¿ osoby nieszczepione.","Dziêki szczepionce ryzyko zara¿enia siê i zaka¿enia innych
jest znacznie mniejsze","Ochrona, jak¹ zapewnia
szczepionka Covid-19, mo¿e pomóc w zmniejszeniu lêku i
sprawiæ, ¿e znów bêdziemy siê swobodniej kontaktowaæ. ","Dziêki szczepionce Covid-19 mo¿na w kontrolowany sposób
uzyskaæ lepsz¹ i d³ugotrwa³¹ ochronê, bez ryzyka zaka¿enia
koronawirusem. ",,,,
mieszany,Warto siê szczepiæ przeciwko COVID-19,"Szczepi¹c siê dajesz swój wk³ad w tej wojnie z wirusem – wk³ad w ratowanie gospodarki i przysz³oœci finansowej naszego kraju, miejsc pracy, edukacji dzieci i m³odzie¿y, zdrowia psychicznego spo³eczeñstwa, s³u¿by zdrowia i praktycznie ka¿dej innej ga³êzi ¿ycia spo³eczeñstwa.",Szczepi¹c siê bierzesz udzia³ w ratowaniu innych ,,"Wirusy mutuj¹
dosyæ szybko",,,,
równoleg³y,Warto siê szczepiæ przeciwko COVID-19,"Aby osi¹gn¹æ odpornoœæ populacyjn¹
zaszczepiæ powinno siê jak najwiêcej osób. ","... szczepionki s¹ najbardziej skutecznym rozwi¹zaniem ograniczaj¹cym
ryzyko transmisji kolejnych wariantów wirusa SARS-CoV-2.",,,,,,
szeregowy,"Uwierzmy nauce i faktom, zaszczepmy siê dawk¹ przypominaj¹c¹.","Badania przeprowadzone w innych krajach dowodz¹, ¿e pe³ne zaszczepienie siê znacz¹co zmniejsza ryzyko ciê¿kiej choroby.",Ochrona ta s³abnie z czasem.,Przyjêcie dawki przypominaj¹cej wzmocni zdolnoœæ organizmu do walki z wirusem.,,,,,
